"Age","Gender","Profession","Resources","HealthcareAccess","BioComputerUser"
28,"Female","Engineer",44.3571347929537,0.248629881301895,"No"
33,"Female","Driver",86.6255025565624,0.98946317541413,"No"
59,"Female","Engineer",67.491800673306,0.717121902387589,"No"
37,"Male","Doctor",84.5757313072681,0.651728288270533,"No"
38,"Female","Engineer",43.5240622237325,0.240556207252666,"No"
62,"Male","Doctor",31.2868177331984,0.086792754707858,"Yes"
43,"Female","Farmer",91.0896882042289,0.296676280442625,"No"
21,"Female","Engineer",20.662800334394,0.542068801820278,"Yes"
26,"Female","Farmer",65.5296522378922,0.780648312997073,"Yes"
29,"Female","Farmer",97.4040151946247,0.271841532550752,"No"
54,"Male","Driver",41.5351010672748,0.317172060022131,"No"
41,"Female","Doctor",98.7168056517839,0.947654680814594,"No"
42,"Male","Doctor",22.8311590105295,0.490255853859708,"Yes"
38,"Male","Engineer",40.6381144374609,0.972959124017507,"Yes"
28,"Male","Engineer",40.7912897132337,0.845900436630473,"No"
63,"Female","Engineer",95.8550790138543,0.979670982109383,"Yes"
43,"Male","Farmer",98.3698190934956,0.113989664707333,"Yes"
21,"Female","Engineer",78.750789090991,0.313981512794271,"No"
47,"Female","Farmer",42.9983805306256,0.944676731247455,"No"
29,"Female","Engineer",52.7167294733226,0.64154488639906,"Yes"
21,"Male","Engineer",36.1262118443847,0.97942201863043,"Yes"
33,"Female","Farmer",81.3269087299705,0.97201200760901,"No"
21,"Male","Engineer",79.4483951851726,0.730551321757957,"No"
25,"Female","Engineer",59.8769104667008,0.391842844663188,"No"
27,"Female","Farmer",73.6399676464498,0.663462371565402,"No"
21,"Female","Farmer",80.1970234885812,0.25723231676966,"Yes"
49,"Male","Farmer",81.9090335071087,0.309798469068483,"Yes"
38,"Male","Driver",68.413544036448,0.840456382371485,"No"
21,"Female","Engineer",51.2412594817579,0.68827313138172,"No"
55,"Male","Driver",73.6846058443189,0.774932118365541,"No"
42,"Male","Farmer",89.5366249233484,0.307840032270178,"Yes"
32,"Male","Engineer",54.9122298508883,0.641562938224524,"No"
49,"Male","Engineer",29.6381075493991,0.613391627557576,"No"
49,"Female","Engineer",69.5162687636912,0.226554587483406,"No"
48,"Female","Farmer",58.4407000802457,0.246159217087552,"Yes"
46,"Male","Engineer",93.9114471711218,0.877758006798103,"No"
44,"Male","Engineer",39.2538148164749,0.784769725752994,"No"
35,"Male","Engineer",82.118526045233,0.0256611597724259,"No"
31,"Male","Engineer",80.159031059593,0.755333107197657,"No"
30,"Male","Farmer",74.1185939870775,0.897715891711414,"Yes"
26,"Female","Doctor",64.1375571116805,0.893065905896947,"Yes"
33,"Female","Engineer",67.8288424946368,0.119435762288049,"Yes"
21,"Female","Engineer",89.3150065280497,0.976272112689912,"No"
69,"Male","Engineer",59.6272570081055,0.910052168415859,"No"
54,"Male","Engineer",98.4183171205223,0.258996623102576,"Yes"
21,"Male","Farmer",25.5499749816954,0.888964015757665,"No"
30,"Male","Engineer",64.4743171148002,0.833025268977508,"No"
29,"Female","Doctor",35.1498820260167,0.439285231055692,"No"
48,"Female","Engineer",43.7165985256433,0.076751409098506,"No"
35,"Female","Farmer",87.2803297452629,0.866153983864933,"No"
40,"Male","Doctor",36.4085680991411,0.323661691509187,"No"
36,"Female","Engineer",66.6175271756947,0.232093419646844,"No"
35,"Male","Driver",51.7009758576751,0.82778966287151,"No"
57,"Female","Engineer",44.44570209831,0.991556603927165,"No"
33,"Male","Engineer",57.7804231457412,0.230139006627724,"No"
59,"Female","Farmer",79.4599278271198,0.0888144311029464,"No"
21,"Male","Engineer",98.1442885287106,0.635193619178608,"No"
45,"Male","Farmer",32.5011081062257,0.856550942640752,"No"
38,"Male","Farmer",30.3540649078786,0.183941821334884,"Yes"
39,"Male","Driver",66.4447442255914,0.50547484937124,"Yes"
42,"Female","Driver",30.9719339944422,0.355560597730801,"No"
28,"Male","Engineer",36.1597155593336,0.82449588412419,"Yes"
31,"Male","Doctor",47.3319251649082,0.483728897292167,"No"
21,"Male","Engineer",41.2720757350326,0.231912927469239,"Yes"
21,"Female","Engineer",77.7268785238266,0.270163433160633,"No"
41,"Female","Farmer",75.6393187493086,0.822993500856683,"No"
43,"Female","Engineer",83.536698166281,0.0258362537715584,"No"
37,"Female","Driver",41.9575998932123,0.405925505328923,"No"
50,"Male","Doctor",34.5565089583397,0.596034614136443,"Yes"
67,"Male","Engineer",57.008293364197,0.528739652596414,"No"
29,"Female","Farmer",64.0436061471701,0.682570908451453,"Yes"
21,"Male","Farmer",69.8174171335995,0.507812907686457,"No"
51,"Male","Engineer",58.6314739100635,0.554371795384213,"No"
25,"Female","Engineer",30.3864779323339,0.841240104753524,"Yes"
26,"Male","Doctor",90.7197445631027,0.312510160263628,"No"
51,"Male","Farmer",99.3054342269897,0.0359481202904135,"No"
32,"Male","Doctor",88.9572348818183,0.815994060598314,"Yes"
21,"Female","Doctor",88.1800574250519,0.778576789423823,"No"
39,"Male","Farmer",50.1930885761976,0.859379491303116,"No"
34,"Female","Doctor",69.3661199882627,0.065719356527552,"No"
36,"Female","Farmer",61.4673914015293,0.00880611850880086,"No"
42,"Male","Engineer",22.9543367959559,0.591680875513703,"Yes"
30,"Male","Doctor",79.4425947591662,0.869615380419418,"No"
46,"Female","Engineer",87.3942803405225,0.446291885804385,"Yes"
33,"Female","Engineer",23.9292253740132,0.0375750046223402,"Yes"
41,"Male","Engineer",91.4631366170943,0.410290583269671,"No"
52,"Female","Driver",50.2541962265968,0.365216211182997,"Yes"
43,"Male","Engineer",75.6451441161335,0.476584830554202,"No"
31,"Male","Doctor",77.3849090002477,0.133677755715325,"Yes"
53,"Female","Engineer",74.6019957400858,0.47945625660941,"No"
51,"Female","Driver",44.0325084887445,0.26431269175373,"No"
44,"Female","Farmer",44.2098546214402,0.489932941505685,"No"
40,"Female","Engineer",58.0888318642974,0.90606120461598,"No"
27,"Female","Engineer",23.87859871611,0.500997344264761,"No"
56,"Female","Farmer",59.3295856006444,0.703506809892133,"No"
27,"Male","Doctor",67.0899778977036,0.0579100276809186,"No"
69,"Male","Engineer",38.7711462751031,0.689310917630792,"No"
59,"Female","Engineer",97.1710599586368,0.798795275855809,"No"
32,"Male","Engineer",32.7995728328824,0.0188550325110555,"No"
21,"Female","Engineer",66.0190387070179,0.0368145718239248,"No"
25,"Male","Engineer",53.6633769795299,0.577822232153267,"No"
40,"Female","Driver",29.7943766787648,0.790035859448835,"No"
32,"Female","Engineer",49.1428165882826,0.735261033289135,"Yes"
31,"Male","Farmer",99.8980927653611,0.268537719035521,"No"
22,"Male","Engineer",83.8309034518898,0.805366424378008,"No"
35,"Male","Doctor",47.988120932132,0.424932877765968,"No"
24,"Female","Farmer",94.9581643752754,0.165215192828327,"No"
21,"Female","Engineer",77.0557903312147,0.604047569446266,"Yes"
30,"Male","Farmer",59.6195014752448,0.825760356150568,"No"
50,"Male","Engineer",84.9796289391816,0.780950927408412,"Yes"
27,"Male","Engineer",72.3946035839617,0.0814768993295729,"No"
45,"Female","Engineer",48.8596704788506,0.0707583683542907,"No"
21,"Female","Doctor",57.7545241639018,0.958960017655045,"Yes"
35,"Female","Doctor",67.868616450578,0.0902927571441978,"No"
44,"Male","Engineer",78.0959864892066,0.212251252261922,"Yes"
41,"Female","Driver",48.479978479445,0.439203592948616,"No"
38,"Male","Engineer",66.9182759895921,0.777871488593519,"No"
26,"Female","Driver",61.3282870315015,0.851407959358767,"No"
23,"Male","Farmer",67.4811751581728,0.62472390383482,"No"
21,"Male","Doctor",91.0615667700768,0.388040910009295,"No"
38,"Male","Engineer",89.3702044710517,0.143754850840196,"No"
22,"Male","Engineer",86.4961095713079,0.881672804243863,"No"
29,"Female","Farmer",32.937448900193,0.873741812538356,"No"
32,"Female","Driver",46.5118196234107,0.338623692048714,"No"
64,"Male","Doctor",94.0937964059412,0.513312963536009,"No"
26,"Female","Farmer",94.0031296946108,0.493935424368829,"Yes"
40,"Male","Farmer",70.9198030456901,0.793437806423753,"No"
37,"Male","Engineer",83.4327871538699,0.918415119173005,"No"
22,"Female","Engineer",65.739708635956,0.586360268760473,"Yes"
35,"Male","Driver",23.1500549055636,0.823480394203216,"No"
58,"Female","Engineer",43.0125795118511,0.807438910007477,"No"
43,"Female","Doctor",58.4673270769417,0.281572984298691,"No"
37,"Female","Farmer",54.7931001894176,0.508648599265143,"Yes"
30,"Female","Engineer",94.5975909754634,0.295229440322146,"No"
21,"Male","Doctor",71.6544468514621,0.867623769445345,"Yes"
53,"Male","Engineer",20.0663170963526,0.713367390912026,"Yes"
21,"Female","Engineer",21.5617928653955,0.362351306248456,"Yes"
47,"Male","Engineer",43.7579655461013,0.997030258877203,"No"
65,"Male","Doctor",41.8996958248317,0.701003309339285,"No"
21,"Male","Doctor",86.3577071391046,0.237478893948719,"No"
47,"Male","Driver",77.6847538352013,0.647496965713799,"No"
32,"Female","Engineer",74.4444710761309,0.343952272552997,"No"
21,"Female","Engineer",50.7355914078653,0.800626118434593,"Yes"
21,"Female","Engineer",34.8218773677945,0.325027865124866,"Yes"
21,"Female","Engineer",36.9362084381282,0.267285833368078,"No"
28,"Female","Engineer",76.2953723780811,0.0697811234276742,"No"
21,"Female","Engineer",40.9990219771862,0.570517370710149,"Yes"
46,"Female","Driver",38.1078911572695,0.00417084177024662,"No"
68,"Male","Engineer",67.4549036286771,0.28090165136382,"No"
21,"Male","Doctor",31.7896565794945,0.280087198596448,"Yes"
48,"Female","Farmer",24.0833679027855,0.818229336291552,"Yes"
48,"Male","Farmer",21.1108023487031,0.117334311129525,"No"
41,"Male","Doctor",84.6548400260508,0.262164573185146,"No"
21,"Female","Engineer",84.2051623947918,0.43923281179741,"Yes"
34,"Female","Doctor",21.2035058997571,0.958384463563561,"No"
32,"Female","Engineer",67.623577490449,0.317625193158165,"Yes"
44,"Female","Engineer",44.589023180306,0.785344613250345,"No"
30,"Male","Engineer",68.4888695925474,0.131529556587338,"No"
51,"Female","Engineer",37.2470017895103,0.494531480595469,"No"
30,"Female","Doctor",95.829547252506,0.525210568681359,"No"
52,"Male","Engineer",28.4724533557892,0.886129127349705,"Yes"
21,"Female","Engineer",29.5592694170773,0.361683883937076,"Yes"
21,"Male","Farmer",31.2430047802627,0.466293301666155,"No"
85,"Male","Engineer",43.4284293092787,0.440077771432698,"Yes"
30,"Male","Engineer",67.8988989070058,0.713371852645651,"No"
40,"Male","Farmer",36.7227617278695,0.051185917807743,"Yes"
46,"Female","Doctor",56.1864859983325,0.701317793456838,"Yes"
29,"Male","Doctor",56.2263551726937,0.663476302055642,"No"
44,"Male","Engineer",50.5410742759705,0.663866388145834,"No"
42,"Female","Engineer",99.005856923759,0.499903665157035,"No"
33,"Female","Doctor",20.8119834400713,0.275332398945466,"Yes"
37,"Female","Engineer",89.2389552667737,0.373187934746966,"Yes"
35,"Female","Engineer",27.4158620834351,0.105495647992939,"No"
68,"Female","Farmer",34.5673976279795,0.254962129052728,"Yes"
25,"Male","Engineer",55.8212946169078,0.0463231480680406,"No"
21,"Female","Engineer",78.3272050134838,0.46960802632384,"No"
37,"Female","Driver",35.1969859004021,0.324088445864618,"No"
41,"Male","Engineer",31.1449143849313,0.209987332345918,"No"
43,"Female","Farmer",37.0234099403024,0.752631238428876,"No"
29,"Male","Farmer",33.4982580505311,0.243875527754426,"Yes"
21,"Male","Engineer",88.2428269460797,0.405538256047294,"No"
55,"Male","Farmer",79.2012477479875,0.703397483564913,"No"
31,"Female","Doctor",65.575305595994,0.114420277997851,"No"
23,"Female","Engineer",88.4268954023719,0.134756038198248,"No"
32,"Male","Engineer",31.8622913770378,0.984476802172139,"No"
33,"Female","Doctor",50.1965688355267,0.976772773312405,"Yes"
53,"Male","Engineer",45.571477971971,0.758663358399644,"No"
37,"Male","Engineer",22.394555080682,0.0300594780128449,"No"
47,"Female","Doctor",51.0287236981094,0.974209727486596,"No"
29,"Male","Farmer",76.7551219649613,0.76027034712024,"Yes"
39,"Male","Doctor",39.8527030460536,0.887442039093003,"Yes"
31,"Female","Doctor",71.8320291303098,0.221953105414286,"No"
37,"Male","Engineer",33.4007617086172,0.270474310731515,"No"
23,"Male","Driver",81.791414283216,0.607255024835467,"Yes"
21,"Male","Driver",58.3473924547434,0.340198587393388,"No"
66,"Male","Farmer",24.8296203836799,0.756969291251153,"No"
45,"Male","Engineer",81.6569843515754,0.074837414547801,"Yes"
21,"Male","Doctor",90.1609328389168,0.890628923662007,"No"
27,"Female","Farmer",67.1784469485283,0.770493616582826,"Yes"
21,"Female","Engineer",68.7814174778759,0.882698432309553,"Yes"
69,"Male","Engineer",53.6546242982149,0.947775728302076,"Yes"
56,"Male","Doctor",23.8811728544533,0.324005055939779,"No"
32,"Male","Farmer",72.0740373246372,0.178659718483686,"No"
44,"Female","Engineer",60.151807628572,0.149850057205185,"No"
30,"Female","Engineer",82.910281997174,0.114643478300422,"Yes"
29,"Male","Engineer",63.7621246650815,0.4712783775758,"No"
24,"Female","Engineer",55.5301567912102,0.811294877901673,"No"
27,"Male","Doctor",87.0237918011844,0.866742427926511,"No"
61,"Male","Engineer",74.0587979182601,0.0646991292014718,"No"
35,"Female","Doctor",24.1329513676465,0.731956482166424,"Yes"
38,"Female","Engineer",30.0788762979209,0.972672674106434,"Yes"
40,"Male","Engineer",86.109764687717,0.311117197619751,"Yes"
54,"Female","Driver",52.1142995543778,0.716385000618175,"No"
28,"Female","Doctor",60.4062392935157,0.595201869262382,"Yes"
21,"Male","Farmer",46.9707026705146,0.043182235211134,"No"
61,"Female","Engineer",69.9072057195008,0.449136870214716,"Yes"
29,"Female","Driver",66.2050895765424,0.638674824265763,"No"
